v4	Ix(x1:MINS)	Ix(x1:MINS)*v4	Ix(x2:MINS)	Ix(x2:MINS)*v4	Ix(x3:MINS)	Ix(x3:MINS)*v4
3.800000000000002e+000	1.598927e+000	6.075923e+000	3.098912e+000	1.177587e+001	5.098892e+000	1.937579e+001
3.900000000000002e+000	1.598899e+000	6.235707e+000	3.098884e+000	1.208565e+001	5.098864e+000	1.988557e+001
4.000000000000002e+000	1.598871e+000	6.395485e+000	3.098856e+000	1.239542e+001	5.098836e+000	2.039534e+001
4.100000000000001e+000	1.598843e+000	6.555257e+000	3.098828e+000	1.270520e+001	5.098808e+000	2.090511e+001
4.200000000000001e+000	1.598815e+000	6.715024e+000	3.098800e+000	1.301496e+001	5.098780e+000	2.141488e+001
4.300000000000001e+000	1.598787e+000	6.874786e+000	3.098772e+000	1.332472e+001	5.098752e+000	2.192463e+001
4.400000000000000e+000	1.598759e+000	7.034541e+000	3.098744e+000	1.363448e+001	5.098724e+000	2.243439e+001
4.500000000000000e+000	1.598732e+000	7.194292e+000	3.098716e+000	1.394422e+001	5.098696e+000	2.294413e+001
4.600000000000000e+000	1.598704e+000	7.354036e+000	3.098688e+000	1.425397e+001	5.098668e+000	2.345387e+001
4.699999999999999e+000	1.598675e+000	7.513775e+000	3.098660e+000	1.456370e+001	5.098640e+000	2.396361e+001
4.799999999999999e+000	1.598648e+000	7.673508e+000	3.098632e+000	1.487344e+001	5.098612e+000	2.447334e+001
4.899999999999999e+000	1.598620e+000	7.833236e+000	3.098604e+000	1.518316e+001	5.098584e+000	2.498306e+001
4.999999999999998e+000	1.598591e+000	7.992957e+000	3.098576e+000	1.549288e+001	5.098556e+000	2.549278e+001
5.099999999999998e+000	1.598563e+000	8.152674e+000	3.098548e+000	1.580260e+001	5.098528e+000	2.600249e+001
5.199999999999998e+000	1.598535e+000	8.312384e+000	3.098520e+000	1.611231e+001	5.098500e+000	2.651220e+001
5.299999999999997e+000	1.598507e+000	8.472089e+000	3.098492e+000	1.642201e+001	5.098472e+000	2.702190e+001
5.399999999999997e+000	1.598479e+000	8.631787e+000	3.098464e+000	1.673171e+001	5.098444e+000	2.753159e+001
5.499999999999996e+000	1.598451e+000	8.791481e+000	3.098436e+000	1.704140e+001	5.098415e+000	2.804128e+001
5.599999999999996e+000	1.598423e+000	8.951167e+000	3.098408e+000	1.735108e+001	5.098387e+000	2.855097e+001
5.699999999999996e+000	1.598395e+000	9.110849e+000	3.098379e+000	1.766076e+001	5.098359e+000	2.906065e+001
5.799999999999995e+000	1.598366e+000	9.270525e+000	3.098351e+000	1.797044e+001	5.098331e+000	2.957032e+001
5.899999999999995e+000	1.598338e+000	9.430195e+000	3.098323e+000	1.828010e+001	5.098302e+000	3.007998e+001
5.999999999999995e+000	1.598310e+000	9.589859e+000	3.098294e+000	1.858977e+001	5.098274e+000	3.058965e+001
6.099999999999994e+000	1.598282e+000	9.749517e+000	3.098266e+000	1.889942e+001	5.098246e+000	3.109930e+001
6.199999999999994e+000	1.598253e+000	9.909169e+000	3.098238e+000	1.920907e+001	5.098217e+000	3.160895e+001
6.299999999999994e+000	1.598225e+000	1.006882e+001	3.098209e+000	1.951872e+001	5.098189e+000	3.211859e+001
6.399999999999993e+000	1.598196e+000	1.022846e+001	3.098181e+000	1.982836e+001	5.098160e+000	3.262823e+001
6.499999999999993e+000	1.598168e+000	1.038809e+001	3.098152e+000	2.013799e+001	5.098132e+000	3.313786e+001
6.599999999999993e+000	1.598139e+000	1.054772e+001	3.098124e+000	2.044762e+001	5.098103e+000	3.364748e+001
6.699999999999992e+000	1.598110e+000	1.070734e+001	3.098095e+000	2.075724e+001	5.098074e+000	3.415710e+001
6.799999999999992e+000	1.598082e+000	1.086696e+001	3.098066e+000	2.106685e+001	5.098045e+000	3.466671e+001
6.899999999999992e+000	1.598053e+000	1.102656e+001	3.098037e+000	2.137646e+001	5.098017e+000	3.517632e+001
6.999999999999991e+000	1.598024e+000	1.118617e+001	3.098008e+000	2.168606e+001	5.097988e+000	3.568591e+001
7.099999999999991e+000	1.597995e+000	1.134576e+001	3.097979e+000	2.199565e+001	5.097959e+000	3.619551e+001
7.199999999999990e+000	1.597966e+000	1.150536e+001	3.097950e+000	2.230524e+001	5.097929e+000	3.670509e+001
7.299999999999990e+000	1.597937e+000	1.166494e+001	3.097921e+000	2.261482e+001	5.097900e+000	3.721467e+001
7.399999999999990e+000	1.597908e+000	1.182452e+001	3.097892e+000	2.292440e+001	5.097871e+000	3.772424e+001
7.499999999999989e+000	1.597878e+000	1.198409e+001	3.097862e+000	2.323397e+001	5.097841e+000	3.823381e+001
7.599999999999989e+000	1.597849e+000	1.214365e+001	3.097833e+000	2.354353e+001	5.097812e+000	3.874337e+001
7.699999999999989e+000	1.597819e+000	1.230321e+001	3.097803e+000	2.385309e+001	5.097782e+000	3.925292e+001
7.799999999999988e+000	1.597790e+000	1.246276e+001	3.097774e+000	2.416263e+001	5.097752e+000	3.976247e+001
7.899999999999988e+000	1.597760e+000	1.262230e+001	3.097744e+000	2.447218e+001	5.097722e+000	4.027200e+001
7.999999999999988e+000	1.597730e+000	1.278184e+001	3.097714e+000	2.478171e+001	5.097692e+000	4.078154e+001
8.099999999999987e+000	1.597700e+000	1.294137e+001	3.097683e+000	2.509124e+001	5.097661e+000	4.129106e+001
8.199999999999987e+000	1.597669e+000	1.310089e+001	3.097653e+000	2.540075e+001	5.097631e+000	4.180057e+001
8.299999999999987e+000	1.597639e+000	1.326040e+001	3.097622e+000	2.571027e+001	5.097600e+000	4.231008e+001
8.399999999999986e+000	1.597608e+000	1.341991e+001	3.097591e+000	2.601977e+001	5.097569e+000	4.281958e+001
8.499999999999986e+000	1.597577e+000	1.357941e+001	3.097560e+000	2.632926e+001	5.097538e+000	4.332907e+001
8.599999999999985e+000	1.597546e+000	1.373890e+001	3.097529e+000	2.663875e+001	5.097507e+000	4.383856e+001
8.699999999999985e+000	1.597515e+000	1.389838e+001	3.097497e+000	2.694823e+001	5.097475e+000	4.434803e+001
8.799999999999985e+000	1.597483e+000	1.405785e+001	3.097466e+000	2.725770e+001	5.097443e+000	4.485750e+001
8.899999999999984e+000	1.597451e+000	1.421731e+001	3.097434e+000	2.756716e+001	5.097410e+000	4.536695e+001
8.999999999999984e+000	1.597419e+000	1.437677e+001	3.097401e+000	2.787661e+001	5.097377e+000	4.587640e+001
9.099999999999984e+000	1.597386e+000	1.453621e+001	3.097368e+000	2.818605e+001	5.097344e+000	4.638583e+001
9.199999999999983e+000	1.597353e+000	1.469565e+001	3.097335e+000	2.849548e+001	5.097311e+000	4.689526e+001
9.299999999999983e+000	1.597320e+000	1.485507e+001	3.097301e+000	2.880490e+001	5.097277e+000	4.740467e+001
9.399999999999983e+000	1.597286e+000	1.501449e+001	3.097267e+000	2.911431e+001	5.097242e+000	4.791408e+001
9.499999999999982e+000	1.597252e+000	1.517389e+001	3.097233e+000	2.942371e+001	5.097208e+000	4.842347e+001
9.599999999999982e+000	1.597217e+000	1.533328e+001	3.097198e+000	2.973310e+001	5.097172e+000	4.893285e+001
9.699999999999982e+000	1.597182e+000	1.549266e+001	3.097162e+000	3.004247e+001	5.097136e+000	4.944222e+001
9.799999999999981e+000	1.597146e+000	1.565203e+001	3.097126e+000	3.035184e+001	5.097100e+000	4.995158e+001
9.899999999999981e+000	1.597109e+000	1.581138e+001	3.097090e+000	3.066119e+001	5.097063e+000	5.046092e+001
9.999999999999981e+000	1.597072e+000	1.597072e+001	3.097052e+000	3.097052e+001	5.097024e+000	5.097024e+001
1.009999999999998e+001	1.597035e+000	1.613005e+001	3.097014e+000	3.127984e+001	5.096986e+000	5.147956e+001
1.019999999999998e+001	1.596996e+000	1.628936e+001	3.096975e+000	3.158915e+001	5.096947e+000	5.198886e+001
1.029999999999998e+001	1.596957e+000	1.644866e+001	3.096935e+000	3.189843e+001	5.096906e+000	5.249813e+001
1.039999999999998e+001	1.596917e+000	1.660793e+001	3.096895e+000	3.220771e+001	5.096865e+000	5.300739e+001
1.049999999999998e+001	1.596876e+000	1.676719e+001	3.096853e+000	3.251696e+001	5.096823e+000	5.351664e+001
1.059999999999998e+001	1.596834e+000	1.692644e+001	3.096811e+000	3.282619e+001	5.096779e+000	5.402586e+001
1.069999999999998e+001	1.596791e+000	1.708566e+001	3.096767e+000	3.313541e+001	5.096735e+000	5.453506e+001
1.079999999999998e+001	1.596746e+000	1.724486e+001	3.096722e+000	3.344460e+001	5.096689e+000	5.504424e+001
1.089999999999998e+001	1.596701e+000	1.740404e+001	3.096676e+000	3.375377e+001	5.096642e+000	5.555340e+001
