v1	I(V2)
3.289999999999974e+000	2.997185e+000
3.299999999999974e+000	2.997133e+000
3.309999999999973e+000	2.997078e+000
3.319999999999973e+000	2.997021e+000
3.329999999999973e+000	2.996963e+000
3.339999999999973e+000	2.996903e+000
3.349999999999973e+000	2.996841e+000
3.359999999999972e+000	2.996778e+000
3.369999999999972e+000	2.996712e+000
3.379999999999972e+000	2.996644e+000
3.389999999999972e+000	2.996574e+000
3.399999999999972e+000	2.996501e+000
3.409999999999971e+000	2.996427e+000
3.419999999999971e+000	2.996350e+000
3.429999999999971e+000	2.996270e+000
3.439999999999971e+000	2.996189e+000
3.449999999999970e+000	2.996104e+000
3.459999999999970e+000	2.996017e+000
3.469999999999970e+000	2.995927e+000
3.479999999999970e+000	2.995835e+000
3.489999999999970e+000	2.995739e+000
3.499999999999969e+000	2.995641e+000
3.509999999999969e+000	2.995539e+000
3.519999999999969e+000	2.995434e+000
3.529999999999969e+000	2.995326e+000
3.539999999999969e+000	2.995214e+000
3.549999999999968e+000	2.995099e+000
3.559999999999968e+000	2.994981e+000
3.569999999999968e+000	2.994858e+000
3.579999999999968e+000	2.994732e+000
3.589999999999967e+000	2.994602e+000
3.599999999999967e+000	2.994467e+000
3.609999999999967e+000	2.994329e+000
3.619999999999967e+000	2.994186e+000
3.629999999999967e+000	2.994039e+000
3.639999999999966e+000	2.993887e+000
3.649999999999966e+000	2.993731e+000
