v1	I(V2)	Ix(x2:VF0)
3.939999999999960e+000	2.998637e+000	2.998637e+000
3.949999999999960e+000	2.998627e+000	2.998627e+000
3.959999999999960e+000	2.998616e+000	2.998616e+000
3.969999999999959e+000	2.998606e+000	2.998606e+000
3.979999999999959e+000	2.998595e+000	2.998595e+000
3.989999999999959e+000	2.998584e+000	2.998584e+000
3.999999999999959e+000	2.998572e+000	2.998572e+000
4.009999999999959e+000	2.998561e+000	2.998561e+000
4.019999999999959e+000	2.998549e+000	2.998549e+000
4.029999999999959e+000	2.998537e+000	2.998537e+000
4.039999999999958e+000	2.998525e+000	2.998525e+000
4.049999999999958e+000	2.998512e+000	2.998512e+000
4.059999999999958e+000	2.998500e+000	2.998500e+000
4.069999999999958e+000	2.998487e+000	2.998487e+000
4.079999999999957e+000	2.998473e+000	2.998473e+000
4.089999999999957e+000	2.998459e+000	2.998459e+000
4.099999999999957e+000	2.998445e+000	2.998445e+000
4.109999999999957e+000	2.998430e+000	2.998430e+000
4.119999999999957e+000	2.998416e+000	2.998416e+000
4.129999999999956e+000	2.998400e+000	2.998400e+000
4.139999999999956e+000	2.998385e+000	2.998385e+000
4.149999999999956e+000	2.998369e+000	2.998369e+000
4.159999999999956e+000	2.998352e+000	2.998352e+000
4.169999999999956e+000	2.998335e+000	2.998335e+000
4.179999999999955e+000	2.998317e+000	2.998317e+000
4.189999999999955e+000	2.998299e+000	2.998299e+000
4.199999999999955e+000	2.998281e+000	2.998281e+000
4.209999999999955e+000	2.998262e+000	2.998262e+000
4.219999999999955e+000	2.998242e+000	2.998242e+000
4.229999999999954e+000	2.998222e+000	2.998222e+000
4.239999999999954e+000	2.998201e+000	2.998201e+000
4.249999999999954e+000	2.998179e+000	2.998179e+000
4.259999999999954e+000	2.998157e+000	2.998157e+000
4.269999999999953e+000	2.998135e+000	2.998135e+000
4.279999999999953e+000	2.998111e+000	2.998111e+000
4.289999999999953e+000	2.998087e+000	2.998087e+000
4.299999999999953e+000	2.998062e+000	2.998062e+000
4.309999999999953e+000	2.998037e+000	2.998037e+000
4.319999999999952e+000	2.998010e+000	2.998010e+000
4.329999999999952e+000	2.997983e+000	2.997983e+000
4.339999999999952e+000	2.997955e+000	2.997955e+000
4.349999999999952e+000	2.997926e+000	2.997926e+000
4.359999999999952e+000	2.997896e+000	2.997896e+000
4.369999999999951e+000	2.997866e+000	2.997866e+000
4.379999999999951e+000	2.997834e+000	2.997834e+000
4.389999999999951e+000	2.997801e+000	2.997801e+000
4.399999999999951e+000	2.997768e+000	2.997768e+000
4.409999999999950e+000	2.997733e+000	2.997733e+000
4.419999999999950e+000	2.997697e+000	2.997697e+000
4.429999999999950e+000	2.997660e+000	2.997660e+000
4.439999999999950e+000	2.997622e+000	2.997622e+000
4.449999999999950e+000	2.997583e+000	2.997583e+000
4.459999999999949e+000	2.997543e+000	2.997543e+000
4.469999999999949e+000	2.997501e+000	2.997501e+000
4.479999999999949e+000	2.997458e+000	2.997458e+000
4.489999999999949e+000	2.997414e+000	2.997414e+000
4.499999999999949e+000	2.997369e+000	2.997369e+000
4.509999999999948e+000	2.997322e+000	2.997322e+000
4.519999999999948e+000	2.997273e+000	2.997273e+000
4.529999999999948e+000	2.997223e+000	2.997223e+000
4.539999999999948e+000	2.997172e+000	2.997172e+000
4.549999999999947e+000	2.997118e+000	2.997118e+000
4.559999999999947e+000	2.997064e+000	2.997064e+000
4.569999999999947e+000	2.997007e+000	2.997007e+000
4.579999999999947e+000	2.996949e+000	2.996949e+000
4.589999999999947e+000	2.996889e+000	2.996889e+000
4.599999999999946e+000	2.996827e+000	2.996827e+000
4.609999999999946e+000	2.996763e+000	2.996763e+000
4.619999999999946e+000	2.996697e+000	2.996697e+000
4.629999999999946e+000	2.996629e+000	2.996629e+000
4.639999999999946e+000	2.996559e+000	2.996559e+000
4.649999999999945e+000	2.996487e+000	2.996487e+000
4.659999999999945e+000	2.996412e+000	2.996412e+000
